Completion_Time,Feedback_Rating,Attendance,Performance_Score
1.75,3.2,28.73,85.78
4.9,2.32,11.96,52.28
2.77,3.09,55.91,80.96
1.25,1,3.33,78.44
5.28,4,91.83,76.7
2.03,2.9,64.76,60.79
6.21,2.18,44.04,57.45
6.43,1.66,89.64,45.35
6,4.5,96.89,64.3
3.5,3.07,88.96,72.88
1.41,2.87,5.03,78.77
7,3.87,62.13,73.31
3.48,1.44,40.3,60.39
6.32,5,61.68,58.89
6.51,4,90.4,74.13
6.21,2.68,69.35,37.4
3.23,3.6,61.59,86.54
2.91,1.01,62.76976795,55.26
5.73,2.909313072,91.21,45.19
3.958567264,3.41,42.07,67.23
3.958567264,2.909313072,72.01,97.53
4.09,1,62.76976795,49.12
6.93,1.35,53.51,52.19
4.81,4.61,97.41,67.83
4.85,5,78.68,81.03
1.28,1.8,54.1,67.66
4.27,3.53,63.06,72.83
6.78,1.72,93.29,64.95
1.53,3.48,45.62,86.99
4.14,5,96.36,90.39
3.958567264,4.09,53.24,60.4
5.43,1,55.66,34.07
5.34,1.88,79.84,59.19
5.07,2.39,67.7,53.6
2.69,2.04,73.21,67.28
3.23,2.909313072,66.4,69.27
6.18,1.54,70.24,49.57
5.43,2.53,91.13,59.18
6.15,4,79.67,73.16
3.958567264,1.15,99.87,50.1
3.76,2.69,89.34,87.43
4.09,1,63.68,68.06
5.82,3.29,63.22,58.39
4.61,5,66.79,77.1
4.85,2.24,92.16,58.56
6.03,2.52,9.8,44.52
6.16,1.64,27.5,43.47
2.77,4.1,69.96,74.49
3.49,3.7,81.99,88.46
1.8,5,0,88.24
4.25,2.24,60.96,48.52
1.59,1.23,0.14,68.62
3.98,1.71,94.69,69.64
4.11,1.19,62.81,49.9
2.65,1.48,50.2,77.44
4.77,2.37,91.73,58.8
1,4.69,0.07,85.31
1.19,1,2.4,65.39
6.09,3.87,75.92,47.45
3.2,3.51,57.92,89.14
1.87,2.74,66.3,79.46
4.18,2.909313072,57.83,85.64
5.32,5,85.44,76.56
2.2,3.24,76.97,74.23
4.77,1,68.51,50.07
1.79,5,18.48,87.01
1.46,5,66.13,100
4.12,4,64.66,73.02
4.71,1.8,82.74,50.93
4.43,4.79,52.01,74.55
5.07,1.83,80.48,55.53
6.7,1.9,85.86,64.18
3.83,5,68.44,79.91
3.07,3.54,60.77,62.92
5.31,5,76.88,74.35
2.3,2.04,91.66,69.28
3.42,4,66.18,87.04
1.65,2.93,62.62,70.75
1.53,3.81,1.01,92.23
7,2.81,76.31,43.63
5.7,2.84,67.96,59.05
5.25,2.13,14.07,55.72
2.98,2.71,89.08,71.14
1.85,1,84.96,67.25
2.25,4.62,56.43,80.1
2.46,1,99.25,74.15
3.95,4.01,80.4,71.83
5.23,2.81,0,55.53
4.66,4.62,69.11,80.73
2.57,1,94.93,56.25
6.72,1.6,62.2,35.67
5.28,1,64.29,50.89
4.77,2.46,56.12,58.22
4.73,2.909313072,87.96,62.15
3.86,2.77,79.78,67.59
2.75,4,80.45,89.55
3.3,3.65,60.92,74.7
5.55,4.92,57.72,63.48
1,1.8,2.6,67.15
1.81,3.58,62.76976795,84.1
1.14,1,1.77,73.74
1,4.95,0.29,88.64
6.07,1,61.55,46.52
5.46,1,27.09,53.19
4.31,3.2,77.56,62.61
1.46,4.24,98.48,100
3.99,2.31,99.06,59.62
4.19,1.26,64.09,71.53
1.87,2.37,46.74,62.71
3.24,4.62,53.15,75.38
3.17,5,93.67,92.46
5.1,2.54,78.43,60.35
4.47,3.75,69.26,59.78
1.1,5,9.09,92.66
3.21,2.08,62.76976795,79.05
5.11,1,76.51,65.53
4.46,4.11,64.15,64.49
6.07,1.76,62.76976795,63.74
5.38,1.23,33.4,46.39
1.64,4.08,80.09,93.69
1.08,2.54,96.5,84.07
5.3,1,92.83,56.42
1.17,3.14,0.08,91.55
4.2,2.31,62.76976795,61.01
6.63,1,71.16,40.36
4.73,4.34,62.62,64.06
3.66,4,99.17,95.43
5.22,4.35,65.19,72.55
3.82,4.63,66.19,79.58
4.64,4.27,99.48,84.79
6.66,1,56.7,27.63
3.43,2.32,53.31,66.08
7,2.27,96.79,69.86
6.36,1.47,75.59,52.87
1.74,2.41,50.13,75.99
1.27,3.23,6.28,86
1.72,2.26,55.58,71.69
1,5,7.36,96.1
1.22,2.81,65.68,87.78
4.89,4.46,71.94,59.94
1,5,48.91,98.94
3.15,1,77.84,75.69
5.83,1.51,62.76976795,42.61
1,2.85,1.52,90.54
6.09,5,65.42,67.07
3.03,2.11,65.42,86.25
1.23,3.95,78.3,87.63
4.91,1.83,65.03,63.56
5.22,1.02,8.59,54.68
6.15,3.45,68.06,73.53
5.85,5,81.13,76.56
5.59,1,61.54,40.08
2.41,3.12,96.02,62.74
1.77,3.9,78.75,100
5.09,2.47,96,78.09
6.24,4,52.32,71.44
7,3.55,67.13,67.61
3.93,2.909313072,51.14,68.61
3.58,2.59,63.61,74.37
6.01,4.78,93.1,68.34
3.2,2,51.83,48.54
6.91,1.98,71.81,66.75
5.86,1.02,55.88,54.57
3.46,4.39,70.84,75.2
5.65,2.01,91.94,66.46
5.9,3.77,81.15,65.61
1.78,2.49,86.84,74.15
6.76,1.11,1.04,45.88
4,3.24,62.76976795,55.49
6.18,1.58,52.26,44.68
3.4,4,71.09,94.21
6.02,1,71.32,36.49
3.77,1.08,95.93,65.01
1.09,1.36,9.12,84.2
6.57,2.909313072,85.32,63.85
1.93,3.22,70.85,65.47
2.83,2.909313072,61.18,78.35
6.62,2.14,86.18,65.83
6.73,1,46.76,47.76
3.96,1.15,75.07,61.18
4.79,2.75,54.83,78.44
3.48,4,60.41,74
3.19,1.79,89.7,87.43
2.56,1,66.5,65.72
3.958567264,2.909313072,94.56,67.78
5.96,2.24,66.07,61.87
6.15,3.35,70.3,48.71
5.94,2.59,90.42,58.5
1.64,3.2,79.76,81.25
3.75,1.31,13.64,62.62
1.22,4.92,96.33,100
3.958567264,2.909313072,76.8,80.96
3.94,3.89,75.75,67
6.15,4,7.48,65.44
3.28,1,0,51.6
1.56,5,50.37,80.71
1.82,2.41,95.66,66.58
5.63,1,70.42,44.42
5.01,5,73.43,66.16
1.32,1,92.27,78.82
1.4,5,80.46,100
4.84,2.25,80.48,61.5
1.02,1.95,3.23,65.93
6.03,2.909313072,91.7,65.66
4.93,4.42,62.76976795,49.97
1.05,3.18,52.66,65
1.91,3.57,59.58,84.26
6.95,3.04,63.39,62.45
2.88,3.41,64.12,77.19
2.77,5,83.53,91.12
5.5,2.87,60.89,41.71
6.65,4.66,83.83,70.34
7,4.18,54.56,44.28
5.66,2.909313072,22.49,60.76
2.9,3.7,75.44,66.09
1.63,5,96.09,100
5.56,2.92,92.98,75.21
4.31,5,98.44,94.05
3.85,4,82.52,83.29
6.27,3.61,7.99,78.85
1.32,2.909313072,52.78,93.02
4.33,1,81.14,65.9
1,1.81,8.93,65.44
3.6,4.08,77.19,64.1
1.55,2.909313072,69.3,64.26
3.958567264,1.1,72.13,81.44
2.01,4.62,76.18,80.28
4.58,3.9,56.42,55.05
5.33,2.9,67.97,73.48
4.13,5,53.17,74.97
6.81,2.45,63.22,49.63
3.04,3.28,55.93,62.84
2.9,3.5,30.66,64.59
5.71,2.24,94.56,52.72
1.9,3.19,74.14,86.29
6.71,2.9,29.94,53.32
1.53,4.09,6.54,83.77
7,5,55.79,59.94
1.75,4,6.72,87.14
6.27,1.8,52.6,30.65
3.72,3.66,47.12,74.06
6.77,1.74,90.33,57.61
1.62,3.78,79.3,78.08
3.96,2,80.32,49.51
6.62,2.75,60.03,45.08
3.7,1,67.19,60.49
4.75,1.01,6.08,61.45
4.88,4.58,62.76976795,58.98
3.32,4.88,92.9,88.52
4.68,1,74.18,56.5
4.36,1,91.86,51.73
6.45,5,65.9,67.32
1.52,1.8,0.05,61.27
2.3,2.75,87.58,97.09
6.99,2.51,89.25,58.54
5.87,3.89,3.17,40.87
3.67,1.79,62.76976795,62.47
4.81,2.64,54.22,40.62
3.12,3.54,53.43,56.53
2.2,2.35,42.71,64.24
3.958567264,3.25,25.56,79.17
3.14,1.8,98.04,63.92
4.4,2.909313072,32.33,67.16
1.45,4.16,51.26,76.05
6.55,2.99,80.14,45.46
6.92,1.94,64.48,29.47
4.84,1,71.65,46.69
4.46,2.71,51,50.05
2.95,4.76,53.23,71.47
5.46,1.27,16.72,55.16
5.5,4.99,36.85,75.5
2.1,3.53,51.34,74.58
6.29,2.61,82.28,51.2
5.49,3.85,59.26,51.66
6.83,2.85,60.31,59.33
5.22,2.89,3.56,49.08
5.09,3.09,58.95,41.94
3.04,4.82,82.86,73.96
6.14,3.91,99.72,52.13
6.65,1,82.61,51.99
1.73,3.39,9.85,88.82
1,3.78,8.78,78.62
3.48,3.28,26.57,73.62
5.58,1.18,95.55,70.63
7,3.76,98.45,65.97
2.27,2.909313072,62.76976795,81.17
4.16,2.909313072,42.38,58.72
3.03,1.72,88.51,81.93
6.34,4,56.62,64.86
5.59,3.53,7.32,59.34
5.56,2.909313072,90.95,58.58
4.11,2.06,56.25,71.96
3.29,4.13,98.84,78.6
2.63,2.08,99.28,63.15
1.63,3.57,96.84,100
6.18,2.72,74.8,34.37
5.81,2.99,62.3,66.9
6.51,3.84,79.1,64.88
7,4,32.39,67.19
3.95,1.8,60.3,43.65
5.87,4.99,71.18,66.83
6.43,1.71,45.35,48.91
6.27,2.12,62.76976795,40.76
2.63,1,6.68,55.68
3.82,3.05,50.89,65.65
1.54,2.72,87.47,78.71
3.958567264,1,82.03,44.52
5,5,53.13,63.66
1.88,4.75,76.51,95.9
4.71,3.07,12.25,64.18
4.82,3.62,54.17,84.79
3.47,1.64,67.9,71.08
1.54,4,89.39,99.04
5.18,2.909313072,51.71,74.08
4.18,1.19,95.32,60.82
5.19,2.909313072,64.77,56.45
4.24,1.74,78.07,64.81
6.42,1.61,74.1,57.71
4.8,4.1,16.52,62.52
3.9,2.33,78.1,72.45
6.42,3.8,70.47,59.91
3.33,4.64,88.64,74.86
1.31,1.8,70.19,63.63
1.28,4.23,8.95,100
5.15,1.24,55.07,42.85
4.6,3.89,56.65,76.48
4.98,2.909313072,28.11,39.89
2.14,5,52.28,83.62
1.81,1.16,77.07,62.05
1,1,6.59,78.73
3.15,2.79,80.52,53.56
4.28,3.62,78.75,73.45
3.49,2.4,62.76976795,92.07
3.97,1.74,66.98,59.71
6.14,5,68.1,71.35
3.1,2.36,65.71,75.3
4.23,3.32,85.61,78.09
5.76,2.38,58.08,69.88
3.25,3.79,0,57.46
4.87,4.02,79.81,55.08
5.7,3.62,97.12,79.83
6.57,4,7.87,74.47
1.91,5,89.15,97.39
6.08,5,57.67,68.51
3.96,1,44.54,55.96
2.7,5,65.56,93.05
4.01,1.64,91.21,69.14
6.49,2.909313072,61.24,72.98
4.45,2.69,66.81,66.81
3.08,3.02,61.19,75.39
4.66,2.12,72.61,68.28
2.19,1,94.25,73.79
1.53,2.9,67.26,63.43
2.15,2.58,36.65,94.26
1.79,4,93.02,99.27
2.07,1.36,75.77,66.66
1.69,4.91,0,86.51
4.74,5,93.04,71
1.88,1.64,34.73,70.97
3.28,1.02,84.08,68.26
6.24,3.44,54.28,66.89
3.53,3.6,58.93,71.43
3.958567264,3.99,70.22,63.72
2.38,3.24,47.29,84.94
2.39,1.8,98.29,65.46
1.08,1.9,3.45,82.81
2.42,1,92.56,70.24
2.24,2.63,65.78,63.82
1.61,2.65,98.2,93.56
1.16,2.65,51.66,97.86
1.34,3.42,37.3,69.14
3.35,1.63,85.08,61.39
2.4,5,50.83,78.29
3.29,5,57.31,82.69
4.17,2.99,91.48,81.49
5.33,4,6.2,75.02
1.5,2.95,8.94,84.87
5.51,3.81,1.15,66.37
4.89,1.8,95.26,52.57
1.57,1.39,81.58,79.08
6.68,1.56,69.91,55.19
6.26,2.05,56.02,51.26
1,3.72,64.69,96.01
2.81,5,98.92,94.57
6.08,2.909313072,71.87,37.97
5.27,1,73.59,43.44
2.18,1.43,3.21,72.07
1.82,2.96,62.76976795,70.08
3.68,4.26,80.2,81.4
3.52,5,6.49,83.84
4.28,5,69.47,81.01
2.75,2.61,51.45,70.61
3.71,4,69.44,89.6
5.08,3.9,97.46,66.11
1.46,3.43,62.76976795,80.17
2.91,1.1,97.18,82.05
3.958567264,2.22,59.81,70.03
6.5,2.909313072,84.23,69.48
3.61,2.68,92.23,57.29
4.08,1.47,80.03,63.99
3.958567264,2.26,56.72,68.92
3.41,2.909313072,69.56,89.85
4.34,2.58,98.56,75.18
2.08,2.02,67.56,79.73
2.98,4.8,93.39,85.73
3.42,1.86,54.66,53.64
1.33,1.29,0,87.18
3.37,3.58,67.55,81.63
2.71,2.7,52.58,70.15
3.01,2.909313072,55.95,85.87
1.72,2.66,32.94,64.36
6.18,1.8,91.89,41.05
4.78,4.37,17.04,71.12
5.11,5,64.94,72.34
6.17,2.909313072,50.51,67.11
3.73,2.72,20.94,73.43
1.33,5,81.02,95.09
4.04,2.31,82.25,82.4
4.83,3.38,45.86,75.79
5.07,2.28,60.41,56.51
3.55,4.13,86.02,66.31
1.7,3.74,90.56,97.79
2.27,3.53,56.93,64.99
3.09,2.96,74.34,70.03
4.89,2.58,62.44,59.11
3.99,4.06,58.41,59.26
3.15,2.68,86.72,78.6
7,2.79,46.51,31.27
5.11,5,24.75,79.83
2.45,3.58,65.5,73.68
1.63,1.36,98.33,91.86
1.71,1.36,92.43,72.85
2.98,1,94,57.29
1.73,3.58,73,63.66
2.07,5,81.19,84.48
2.21,3,68.84,53.55
1.89,2.64,30.91,85.48
5.95,1.8,70.05,43.47
1.72,3.42,79.7,64.99
4.21,3.33,64.36,49.68
3.53,2.66,92.4,53.48
6.68,2.09,57.56,59.78
1.98,3.5,68.36,97.01
2.89,1.46,21.73,69.7
6.65,1,70.24,38.73
6.35,1.14,51.98,39.73
6.31,2.7,63.63,56.44
2.28,5,20.11,87.18
2.07,1.79,73.91,71.52
5.05,5,77.18,71.58
6.95,4.36,63.75,46.96
3.89,1,76.15,62.79
4.35,4.42,75.45,68.04
2.36,1.8,65.81,55.56
5.14,4.99,91.51,71.44
1.77,2.77,77.28,69.77
3.42,3.7,66.61,77.64
3.26,2.909313072,2.74,58.04
4.49,5,37.12,87.22
2.16,3.37,99.13,70.42
2.12,5,84.61,99.68
4.81,4.04,68.91,72.5
2.34,4,64.04,93.65
4.57,3.71,83.17,63.55
1.75,4.71,78.72,89.82
3.77,4.08,81.34,66.2
4.14,3.34,94.08,63.12
1.23,1,41.71,80.62
3.18,1.46,70.35,60.28
2.08,2.93,95.31,100
1.21,1.8,87.84,73.03
7,2.36,99.07,67.82
3.37,3.31,88.74,78.7
5.4,2.95,72.43,59.52
2.04,3.45,76.55,82.37
5.02,3.06,95.03,52.08
5.65,2.22,77.58,67.52
4.35,3.75,62.77,48.08
3.59,5,71.78,86.26
3.65,5,75.82,77.95
3.19,4,54.84,85.18
6.25,1,87.19,42.55
6.36,1,55.47,40.61
6.97,1,70.25,38.86
1.61,1,90.23,68.23
5.57,3.57,73.38,52.38
6.24,4.52,92.1,67.41
3.958567264,1,32.78,61.1
1.07,3.84,97.88,87.02
4.99,5,60.47,74.13
4.29,3.58,51.91,69.33
5.7,3.38,93.62,56.08
1.97,4.09,87.61,78.6
5.94,2.62,61.6,48.78
1.86,2.909313072,99.24,66.05
1.5,3.34,75.11,83.52
2.28,3.26,97.55,76.16
5.39,4,75.25,68.01
4.83,3.83,73.59,74.73
4.13,3.24,8.8,70.42
3.47,1,66.74,66.83
6.6,1,76.69,46.75
3.57,3.9,72.63,83.34
5.65,1,51.84,48.63
3.85,1,28.25,52.39
3.01,3.38,60.66,55.71
3.958567264,1,93.37,57.71
2.86,4.91,79.94,89.19
5.67,1,6.61,53.43
3.57,2.91,97.84,72.62
1.95,1,82.2,77.06
6.68,4.12,99.13,70.39
3.66,4,65.59,79.1
4.36,5,59.31,72.29
6.37,1,49.56,55.29
5.1,1,73.54,40.01
1.93,3.51,94.77,77.42
6.72,2.42,78,57.88
4.59,3.03,64.61,62.5
2.71,5,87.13,82.88
1.76,1,75.29,64.66
5.55,4.39,58.11,63.66
4.56,2.909313072,78.84,55.04
4.22,3.8,95.57,87.51
6.03,3.16,92.13,54.2
6.04,1.84,79.34,64.4
1.56,2.79,68.85,62.56
2.85,3.43,54.35,58.3
2.74,5,73.48,85.55
5.45,1.8,87.6,48.39
1.06,2.18,1,93.82
4.39,4.32,61.77,71.01
5.92,4.15,96.57,68.51
6.75,1.41,62.76976795,52.53
3.18,3.73,60.38,70.89
6.22,4.99,56.84,56.22
1.17,1,57.25,69.48
6.46,4.59,55.16,60.78
2.21,4.33,80.81,76.43
3.46,1,55.78,51.17
6.03,1,92.13,51.95
1.91,1.82,99.65,66.02
2.17,1,68.32,62.02
5.68,3.8,72.68,72.23
5.42,3.18,54.01,79.7
4.93,2.61,61.49,55.69
5.32,2.909313072,94.7,82.81
4.62,4.61,52.88,62.27
2.74,4.47,58.45,83.52
2.78,2.83,87.73,79.68
2.06,2.89,84.44,89.97
6.93,2.14,62.76976795,30.55
4.55,1,75.1,50.55
3.85,1,8.7,59.88
4.08,3.66,60.94,70.95
6.85,1.38,71.91,57.5
1.77,3.95,52.65,79.48
4.32,2.16,89.11,65.92
4.18,3.28,57.15,81.86
4.6,1.32,65.76,42.36
1.41,3.29,9.22,74.5
6.49,2.16,89.12,58.11
6.4,2.909313072,96.69,53.99
4.59,2.19,68.39,59.72
5.17,3.85,45.08,74.34
6.35,1,80.13,42.83
5.15,2.2,76.26,57.82
2.32,2.35,94.52,92.52
4.32,1,50.16,37.24
4.43,5,0,78.44
3.39,4,76.91,94.21
5.13,2.15,58.91,37.49
6.65,3.77,95.39,53.56
6.2,1.49,0.34,46.98
4.03,4.91,73.89,81.83
1.41,2.909313072,90.74,88.65
7,1.58,72.54,60.17
5.66,4.83,77.93,72.58
2.23,3.07,50.14,52.46
6.48,3.33,68.29,63.75
6.54,2.909313072,56.94,64.14
4.38,4.11,84.48,69.46
4.76,2.56,40.58,82.24
3.72,2.8,65.09,77.83
1,1.8,73.39,70.3
3.19,4.32,29.68,62.57
5.59,2.78,5.76,61.73
1.32,1.02,1.41,59.52
3.46,2.82,93.27,93.04
3.79,3.11,75.57,57.44
3.83,4.59,80.95,76.01
6.39,2.82,65.13,51.01
2.94,1,98.33,58.1
2.7,4,64.09,90.3
5.03,4.21,79.44,75.86
3.59,2.9,99.67,77.96
2.84,1,64.81,75.16
3.78,1,42.66,55.93
1.97,4.05,62.76976795,84.68
2.03,2.82,62.08,66.48
4.15,2.909313072,22.51,66.95
3.97,5,70.28,85.59
6.58,1.3,66.72,58.67
2.74,4.36,35.37,88.47
4.47,1.6,88.02,72.72
5.28,1.9,79.21,62.9
1,2.909313072,62.76976795,91.63
5.07,1.89,3.39,63.15
1.68,5,64.84,91.36
6.41,1.97,99.85,48.91
2.26,1,97.71,74.21
3.29,5,69.37,88.62
1.32,2.35,90.56,88.87
6.87,5,61.03,60.18
4.48,5,76.63,83.13
4.15,2.01,31.63,41.66
1.72,1,62.98,76.76
5.34,2.3,80.55,51.67
2.61,2.909313072,52.04,78.2
6.88,3.97,98.47,69.37
2.08,1.92,61.75,76.57
1.77,4.03,69.04,77.02
1,3.63,5.58,90.17
4.09,2.34,73.31,50.33
4.03,5,94.11,84.96
1.15,3.22,51.06,87.95
5.35,2.8,4.48,70.57
3.58,2.16,48.99,59.08
3.72,2.23,71.45,45.65
4,2.03,97.97,72.15
3.76,2.94,58.77,44.17
4.27,3.88,30.12,75.55
2.04,2.75,94.03,66.86
2.23,3.01,94.83,91.26
6.42,4.7,93.59,61.65
6.7,1,75.55,45.28
3.25,1,82.99,57.05
2.75,3.29,43.82,78.67
5.06,3.14,53.47,61.9
3.3,2.92,41.02,65.3
1,2.64,7.64,91.7
1.71,3.02,66.25,65.14
5.35,2.6,96.61,65.57
4.81,2.18,65.2,59.13
1.2,2.2,6.19,76.33
2.24,5,6.81,92.07
2.73,2.3,65.73,67.7
4.6,1.12,81.42,52.13
1.19,1.55,2.32,81.79
1.7,3.2,41.9,81.71
5.68,1.05,94.11,60.69
1.99,3.58,52.01,78.49
5.22,2.02,75.05,55.04
2.21,1.14,59.82,65.86
1.97,5,94.21,99.11
2.86,2.92,48.13,55.85
3.958567264,4,91.64,81.54
6.4,2.17,83.58,45.75
6.09,5,62.76976795,65.26
3.41,4.04,67.34,71.03
5.48,5,33.68,64.94
